"ID"	"Name"	"RA"	"DEC"	"Obj. Type"	"Redshift"	"Host Name"	"Host Redshift"	"Reporting Group/s"	"Discovery Data Source/s"	"Classifying Group/s"	"Associated Group/s"	"Disc. Internal Name"	"Disc. Instrument/s"	"Class. Instrument/s"	"TNS AT"	"Public"	"End Prop. Period"	"Discovery Mag/Flux"	"Discovery Filter"	"Discovery Date (UT)"	"Sender"	"Remarks"	"Ext. catalog/s"
"53487"	"AT 2020bnn"	"08:25:52.032"	"+44:25:41.59"	""	""	""	""	"Pan-STARRS1"	"Pan-STARRS1"	""	"Pan-STARRS1"	"PS20nq"	"PS1 - GPC1"	""	"1"	"1"	""	"20.7"	"w-PS1"	"2020-01-26 11:06:43.000"	"PS1_Bot1"	""	""
"53486"	"AT 2020bnm"	"05:42:00.031"	"+00:16:20.26"	""	""	""	""	"Pan-STARRS1"	"Pan-STARRS1"	""	"Pan-STARRS1"	"PS20no"	"PS1 - GPC1"	""	"1"	"1"	""	"20.54"	"w-PS1"	"2020-01-25 07:19:12.000"	"PS1_Bot1"	""	""
"53485"	"AT 2020bnl"	"11:39:03.755"	"+02:39:22.45"	""	""	""	""	"Pan-STARRS1"	"Pan-STARRS1"	""	"Pan-STARRS1"	"PS20nm"	"PS1 - GPC1"	""	"1"	"1"	""	"21.02"	"w-PS1"	"2020-01-25 13:45:07.000"	"PS1_Bot1"	""	""
"53484"	"AT 2020bnk"	"13:00:38.337"	"-23:02:27.43"	""	""	""	""	"Pan-STARRS1"	"Pan-STARRS1"	""	"Pan-STARRS1"	"PS20nl"	"PS1 - GPC1"	""	"1"	"1"	""	"20.35"	"w-PS1"	"2020-01-19 14:51:21.000"	"PS1_Bot1"	""	""
"53483"	"AT 2020bnj"	"04:39:26.456"	"-23:59:26.27"	""	""	""	""	"Pan-STARRS1"	"Pan-STARRS1"	""	"Pan-STARRS1"	"PS20ni"	"PS1 - GPC1"	""	"1"	"1"	""	"20.29"	"w-PS1"	"2020-01-22 06:40:19.000"	"PS1_Bot1"	""	""
"53482"	"AT 2020bni"	"07:54:10.093"	"+42:43:01.80"	""	""	""	""	"Pan-STARRS1"	"Pan-STARRS1"	""	"Pan-STARRS1"	"PS20nh"	"PS1 - GPC1"	""	"1"	"1"	""	"20.59"	"w-PS1"	"2020-01-23 07:55:12.000"	"PS1_Bot1"	""	""
"53481"	"AT 2020bnh"	"09:19:15.448"	"+03:35:00.19"	""	""	""	""	"Pan-STARRS1"	"Pan-STARRS1"	""	"Pan-STARRS1"	"PS20ng"	"PS1 - GPC1"	""	"1"	"1"	""	"21.53"	"w-PS1"	"2020-01-21 10:16:19.000"	"PS1_Bot1"	""	""
"53480"	"AT 2020bng"	"08:10:44.812"	"+40:42:51.02"	""	""	""	""	"Pan-STARRS1"	"Pan-STARRS1"	""	"Pan-STARRS1"	"PS20ne"	"PS1 - GPC1"	""	"1"	"1"	""	"20.87"	"w-PS1"	"2020-01-26 09:57:36.000"	"PS1_Bot1"	""	""
"53479"	"AT 2020bnf"	"09:00:42.370"	"+17:52:19.17"	""	""	""	""	"Pan-STARRS1"	"Pan-STARRS1"	""	"Pan-STARRS1"	"PS20nd"	"PS1 - GPC1"	""	"1"	"1"	""	"20.66"	"w-PS1"	"2020-01-26 08:47:02.000"	"PS1_Bot1"	""	""
"53478"	"AT 2020bne"	"08:54:22.705"	"-03:22:32.28"	""	""	""	""	"Pan-STARRS1"	"Pan-STARRS1"	""	"Pan-STARRS1"	"PS20nb"	"PS1 - GPC1"	""	"1"	"1"	""	"20.58"	"w-PS1"	"2020-01-29 10:17:45.000"	"PS1_Bot1"	""	""
"53477"	"AT 2020bnd"	"11:29:23.304"	"-06:51:23.47"	""	""	""	""	"Pan-STARRS1"	"Pan-STARRS1"	""	"Pan-STARRS1"	"PS20na"	"PS1 - GPC1"	""	"1"	"1"	""	"20.45"	"w-PS1"	"2020-01-29 14:18:14.000"	"PS1_Bot1"	""	""
"53476"	"AT 2020bnc"	"09:33:27.565"	"+53:46:19.35"	""	""	""	""	"Pan-STARRS1"	"Pan-STARRS1"	""	"Pan-STARRS1"	"PS20mz"	"PS1 - GPC1"	""	"1"	"1"	""	"20.79"	"w-PS1"	"2020-01-28 10:56:38.000"	"PS1_Bot1"	""	""
"53475"	"AT 2020bnb"	"10:11:54.499"	"-20:52:58.23"	""	""	""	""	"Pan-STARRS1"	"Pan-STARRS1"	""	"Pan-STARRS1"	"PS20mx"	"PS1 - GPC1"	""	"1"	"1"	""	"21.54"	"w-PS1"	"2020-01-24 11:55:40.000"	"PS1_Bot1"	""	""
