,Candidate,Instrument,Pipeline,Min_Date,Min_MJD,ra,dec,Max_Mag
35,DC22iomym,DECam,DECAT_RK,2022-10-02T06:12:57.600,59854.259,34.444319660713845,-4.830628721959053,22.71
36,DC22iomyo,DECam,DECAT_RK,2022-10-02T06:11:31.200,59854.258,33.94235944380417,-5.646548079039345,21.63
37,DC22iomyv,DECam,DECAT_RK,2022-10-02T06:11:31.200,59854.258,34.86618068423117,-5.108395516044953,22.69
38,DC22iomzb,DECam,DECAT_RK,2022-10-02T06:11:31.200,59854.258,34.69144273817038,-5.468481915976049,22.29
39,DC22iomzu,DECam,DECAT_RK,2022-10-02T06:11:31.200,59854.258,34.53844413273769,-3.9802425330440676,22.79
40,DC22iomzy,DECam,DECAT_RK,2022-10-02T06:11:31.200,59854.258,34.576565139598024,-5.4443500802152816,22.18
41,DC22ionai,DECam,DECAT_RK,2022-10-02T06:11:31.200,59854.258,34.47395676251509,-4.96318793480698,22.65
42,DC22ionar,DECam,DECAT_RK,2022-10-02T06:11:31.200,59854.258,34.88623586414264,-5.2448709203997375,22.88
43,DC22ionas,DECam,DECAT_RK,2022-10-02T06:11:31.200,59854.258,35.16531625810694,-5.491236375888467,22.65
44,DC22ionaz,DECam,DECAT_RK,2022-10-02T06:12:57.600,59854.259,34.11999428855449,-5.616026493177075,22.05
45,DC22ionbc,DECam,DECAT_RK,2022-10-02T06:11:31.200,59854.258,34.9115708771517,-5.184316450040415,22.6
46,DC22ionbn,DECam,DECAT_RK,2022-10-02T06:11:31.200,59854.258,34.77331868527591,-5.2453723379300525,22.75
47,DC22ionca,DECam,DECAT_RK,2022-10-02T06:14:24.000,59854.26,34.97321614859545,-5.12365261248422,23.23
48,DC22ioncb,DECam,DECAT_RK,2022-10-02T06:14:24.000,59854.26,33.96304142031663,-5.24302802064089,22.24
49,DC22ioncg,DECam,DECAT_RK,2022-10-02T06:11:31.200,59854.258,34.57163762074287,-5.04965341774912,22.74
50,DC22ionci,DECam,DECAT_RK,2022-10-02T06:11:31.200,59854.258,34.58494132389915,-4.786400673420693,22.2
51,DC22ioncz,DECam,DECAT_RK,2022-10-02T06:11:31.200,59854.258,34.533732918060736,-4.703324003121065,21.76
52,DC22iondf,DECam,DECAT_RK,2022-10-02T06:11:31.200,59854.258,34.142532988440514,-4.388911966564296,22.43
53,DC22iondj,DECam,DECAT_RK,2022-10-02T06:11:31.200,59854.258,34.87274595807122,-4.56753583719776,22.36
54,DC22iondo,DECam,DECAT_RK,2022-10-02T06:11:31.200,59854.258,33.98497503861107,-5.120487574865684,21.17
55,DC22ioneo,DECam,DECAT_RK,2022-10-02T06:14:24.000,59854.26,34.93054128814025,-3.9851153524740237,22.5
56,DC22ionev,DECam,DECAT_RK,2022-10-02T06:11:31.200,59854.258,34.175289731568355,-4.314749955055965,22.36
57,DC22ionfg,DECam,DECAT_RK,2022-10-02T06:14:24.000,59854.26,34.068296368443356,-5.1800135997513,22.43
58,DC22ionfw,DECam,DECAT_RK,2022-10-02T06:12:57.600,59854.259,33.77022625884642,-5.282708048659385,22.28
59,DC22iongd,DECam,DECAT_RK,2022-10-02T06:12:57.600,59854.259,34.197857464118925,-4.418507534175481,22.21
