,ObjectID,FIRST_ROUND,XWIN_WORLD,YWIN_WORLD,LAST_ROUND,NALT,MAXSCORE
253,A202302171305373p080323,5,196.4054293522653,8.056464204053809,5,2,0.8009999999999999
254,T202302141104284m070523,4,166.11844145032197,-7.08987811565725,5,5,0.828
255,A202302141038206m074554,4,159.58604747512618,-7.76505431459444,5,3,0.911
256,T202302171252282p055221,5,193.1177549964983,5.872729678332244,5,3,0.989
257,T202302171233461p064158,5,188.44218529195217,6.699448476086374,5,2,0.9
258,A202302171246401p072848,5,191.66721817307743,7.480100895325775,5,3,0.969
259,T202302141104267m045553,4,166.11129327246573,-4.931615658794666,5,5,0.846
260,T202302141040521m070803,4,160.21716591810514,-7.134402926219508,5,2,0.85
261,T202302141107072m071221,4,166.7800887962954,-7.206037255998959,5,3,0.723
262,A202302171304491p063059,5,196.2049142662928,6.516444710175008,5,3,0.92
263,A202302141058497m061848,4,164.70722825842697,-6.313376787111684,5,3,0.74
264,A202302171303158p065702,5,195.8161650478448,6.950654864132682,5,3,0.887
265,T202302171245080p053458,5,191.28372436349912,5.582862888023765,5,6,0.933
266,A202302111038273m072844,3,159.61385752481343,-7.478896305320863,5,4,0.912
267,A202302171305046p064026,5,196.2695189233628,6.674061313497321,5,5,0.996
268,A202302141052479m070720,4,163.19974289745292,-7.122367558969016,5,3,0.848
269,A202302171243011p065719,5,190.7548803090837,6.955345779680103,5,3,0.934
270,T202302231038426m074526,6,159.67775762794682,-7.7573241301972065,6,2,0.732
271,A202302141048108m064438,4,162.0453684921824,-6.744003198890533,6,8,0.76
272,A202302141102497m073735,4,165.70710377508857,-7.626542702398676,6,4,0.789
273,A202302231057217m063125,6,164.34071971389582,-6.523675689549616,6,3,0.926
274,A202302141049127m055250,4,162.30303460866818,-5.880728093171758,6,6,0.76
275,A202302141106350m060823,4,166.64592818310538,-6.1397812106919645,6,6,0.7609999999999999
276,A202302141057375m054113,4,164.40642872933142,-5.687137435088737,6,6,0.906
277,T202302171042032m070843,5,160.51369044246087,-7.145554542990903,6,2,0.805
278,T202302141044135m055215,4,161.0566635039204,-5.870890202076444,6,4,0.93
279,T202302231104122m065417,6,166.05087206266415,-6.904864029632642,6,3,1.0
280,A202302141101030m075627,4,165.2625946747789,-7.940990394120088,6,3,0.705
