sn name,index,hemisphere,ra,dec,sn_z,host_ra,host_dec,program,priority
ZTF18aaaxtgu,2.0,south,122.32665593749998,12.857935075,-9999.0,122.335824909,12.8448693321,SNe_Ia,4.0
ZTF18aaaxtgu,3.0,south,122.32665593749998,12.857935075,-9999.0,122.33375996,12.8440257789,SNe_Ia,4.0
ZTF18aaayuow,1.0,south,126.730640025,27.37077791666667,-9999.0,126.72844506,27.3728302323,SNe_Ia,3.0
ZTF18aaayuow,2.0,south,126.730640025,27.37077791666667,-9999.0,126.732499407,27.3777770422,SNe_Ia,3.0
ZTF18aaayuow,3.0,south,126.730640025,27.37077791666667,-9999.0,126.72582341,27.3737848667,SNe_Ia,3.0
ZTF18aabaggk,1.0,north,163.17191408749994,36.66916911874999,-9999.0,163.129708333,36.6187777778,SNe_Ia,4.0
ZTF18aabaggk,2.0,north,163.17191408749994,36.66916911874999,-9999.0,163.17,36.66497,SNe_Ia,4.0
ZTF18aabaspq,1.0,north,163.98025733333333,36.86137693333333,-9999.0,163.98025,36.8615277778,SNe_Ia,3.0
ZTF18aabavwd,1.0,south,160.82767316000005,23.02596638,-9999.0,160.830077122,23.023710144,SNe_Ia,4.0
ZTF18aabavwd,2.0,south,160.82767316000005,23.02596638,-9999.0,160.832418941,23.0232628514,SNe_Ia,4.0
ZTF18aabavwd,3.0,south,160.82767316000005,23.02596638,-9999.0,160.840436114,23.0306165705,SNe_Ia,4.0
ZTF18aabccwc,1.0,north,179.71747181428574,42.7225763,-9999.0,179.713833333,42.71875,SNe_Ia,3.0
ZTF18aabccwc,2.0,north,179.71747181428574,42.7225763,-9999.0,179.71755,42.72265,SNe_Ia,3.0
ZTF18aabdgik,1.0,south,175.59869,10.26407,0.0216,175.598875,10.2641388889,RCF,3.0
ZTF18aabdjmb,1.0,north,178.09357,43.95895,0.0707,178.093968774,43.9591975609,RCF,3.0
ZTF18aabdjtp,1.0,north,178.42404891477267,46.21174016704544,-9999.0,178.424041667,46.2119166667,SNe_Ia,3.0
ZTF18aabduzj,1.0,south,194.59096836666663,27.967711916666666,-9999.0,194.5911,27.96782,SNe_Ia,3.0
ZTF18aabduzl,1.0,south,194.81361090000001,27.970524600000005,-9999.0,194.804625,27.977,SNe_Ia,3.0
ZTF18aabduzl,2.0,south,194.81361090000001,27.970524600000005,-9999.0,194.813541667,27.9707222222,SNe_Ia,3.0
ZTF18aabduzq,1.0,south,194.4502032375,27.883009387500003,-9999.0,194.450291667,27.8831111111,SNe_Ia,3.0
ZTF18aabduzq,2.0,south,194.4502032375,27.883009387500003,-9999.0,194.455416667,27.8811111111,SNe_Ia,3.0
ZTF18aabedfq,1.0,south,194.05088,27.74532,-9999.0,194.050625,27.7454722222,RCF,3.0
ZTF18aabedft,1.0,south,194.8474229333333,27.91136391666667,-9999.0,194.84125,27.91,SNe_Ia,3.0
ZTF18aabedft,2.0,south,194.8474229333333,27.91136391666667,-9999.0,194.845833333,27.9116666667,SNe_Ia,3.0
ZTF18aabedft,3.0,south,194.8474229333333,27.91136391666667,-9999.0,194.847333333,27.9115833333,SNe_Ia,3.0
ZTF18aabedft,4.0,south,194.8474229333333,27.91136391666667,-9999.0,194.8476,27.91952,SNe_Ia,3.0
ZTF18aabedfu,1.0,south,194.221457675,27.92936595,-9999.0,194.221414977,27.9294980594,SNe_Ia,3.0
ZTF18aabgroi,1.0,north,96.71452,52.129129999999996,-9999.0,96.7046698703,52.1326561221,RCF,3.0
ZTF18aabgroi,2.0,north,96.71452,52.129129999999996,-9999.0,96.7262473459,52.130147072,RCF,3.0
ZTF18aabgroi,3.0,north,96.71452,52.129129999999996,-9999.0,96.6986293108,52.1260090517,RCF,3.0
ZTF18aabhehp,1.0,north,96.42532378333334,51.29548936666666,-9999.0,96.4252400653,51.2954016209,SNe_Ia,3.0
ZTF18aabihto,1.0,north,95.69635344,45.9819937,-9999.0,95.695995052,45.9821536137,SNe_Ia,4.0
