 # Fibonacci Sphere distribution of circles on sphere
 # Assuming 5300 across sky, => 7.9 sq-degrees/desi tile
 # RA            DEC
 -78.83854  -37.97246
 -68.57590   33.86041
-127.85245  -11.89401
 -52.97847  -14.70322
-108.49405   35.51925
-104.68704  -37.10133
 -54.15980   17.96450
-128.79014    8.56417
 -65.17015  -31.91366
 -83.01623   39.12641
-122.80912  -23.69556
 -50.33830   -2.22641
-120.02462   27.37295
 -88.72662  -39.76446
 -61.34379   28.91597
-129.66479   -4.18864
 -55.92229  -22.11197
 -99.51798   38.95072
-113.29403  -33.42193
 -51.20891   10.56326
-127.05949   16.32184
 -72.81097  -36.74941
 -73.28803   36.98099
-126.99378  -16.77390
 -50.94386  -10.16527
-113.88661   33.32933
 -99.06003  -39.35500
 -55.80981   22.68107
-130.13797    3.78119
 -60.57575  -28.91116
 -89.28788   40.34728
-120.27273  -28.11944
 -49.65599    2.70708
-123.78259   23.71932
 -82.23403  -39.86058
 -64.86309   32.89013
-129.67535   -9.18235
 -52.96935  -17.95519
-105.76962   37.93179
-108.73755  -36.76093
 -51.90722   15.52384
-129.26217   11.78972
 -67.16349  -34.71681
 -78.82527   39.48396
-125.51798  -21.59686
 -49.44182   -5.36719
-118.73050   30.43771
 -92.77535  -40.83921
 -58.15856   27.24222
-130.96873   -1.18649
 -56.59224  -25.32820
 -95.90787   40.69618
-116.94533  -32.26703
 -49.49496    7.75418
-126.93313   19.60060
 -75.76606  -39.06063
 -69.24639   36.44153
-129.13651  -14.21746
 -50.59280  -13.43501
-111.67561   36.07119
-103.31671  -39.51131
 -53.20933   20.44616
-130.92190    6.98193
 -62.06068  -31.94864
 -85.09248   41.23590
-123.35855  -26.28740
 -48.46115   -0.37050
-122.94999   26.93541
 -86.05255  -41.45170
 -61.28731   31.55508
-131.28013   -6.28157
 -53.23521  -21.25535
-102.58086   40.12997
-112.75041  -36.02377
 -49.87541   12.85780
-129.48999   15.09866
 -69.59993  -37.38724
 -74.52557   39.43577
-128.00696  -19.23223
 -48.77141   -8.62295
-117.04638   33.43975
 -97.09855  -41.53352
 -55.17897   25.25822
-132.05429    1.96136
 -57.59428  -28.53763
 -91.88999   42.12150
-120.43324  -30.75702
 -47.99932    4.76727
-126.52314   22.91670
 -79.18984  -41.13365
 -65.28114   35.50919
-131.05687  -11.44785
 -50.49090  -16.77823
-109.00622   38.65947
-107.63625  -39.25675
 -50.83403   17.95828
-131.47757   10.28789
 -63.95290  -34.90662
 -80.66275   41.72884
-126.22650  -24.15799
 -47.48510   -3.58362
-121.77100   30.13137
 -90.25765  -42.70013
 -57.89793   29.87588
-132.66680   -3.21392
 -53.79462  -24.58182
 -98.92279   42.06542
-116.65065  -34.89983
 -48.06659    9.99054
-129.46281   18.47124
 -72.50921  -39.88208
 -70.20932   38.97436
-130.26722  -16.62751
 -48.33198  -11.97441
-114.93675   36.34451
-101.61152  -41.81928
 -52.42678   22.99006
-132.92046    5.23491
 -58.95849  -31.71296
 -87.51307   43.18253
-123.71516  -28.91491
 -46.72135    1.62408
-125.80835   26.24778
 -83.07887  -42.91896
 -61.46165   34.19820
-132.75441   -8.48866
 -50.65086  -20.17521
-105.85105   41.04900
-111.92666  -38.58940
 -48.68945   15.24301
-131.79893   13.68019
 -66.28952  -37.74841
 -76.09139   41.80301
-128.85998  -21.75781
 -46.72931   -6.91291
-120.21257   33.27852
 -94.78774  -43.56410
 -54.73072   27.87748
-133.83637   -0.00021
 -54.67152  -27.91155
 -94.80915   43.68801
-120.37552  -33.40717
 -46.47981    6.94494
-129.16580   21.88761
 -75.91489  -42.15389
 -65.96621   38.10333
-132.29606  -13.80783
 -48.13093  -15.40297
-112.36345   39.11296
-106.21546  -41.67900
 -49.91389   20.46456
-133.56515    8.61537
 -60.72087  -34.82388
 -82.85158   43.84084
-126.76202  -26.76710
 -45.65993   -1.65531
-124.76182   29.56995
 -87.40737  -44.36641
 -57.84327   32.52993
-134.23114   -5.36200
 -51.08983  -23.60588
-102.19213   43.19017
-116.10254  -37.51819
 -46.77592   12.32492
-131.87698   17.14045
 -69.10900  -40.43245
 -71.48100   41.44698
-131.25132  -19.11362
 -46.19675  -10.34008
-118.23582   36.34464
 -99.55603  -44.00943
 -51.80835   25.58728
-134.78980    3.34018
 -55.89605  -31.21962
 -90.27931   44.94832
-123.87753  -31.56990
 -45.11234    3.74236
-128.57924   25.32736
 -79.82740  -44.15109
 -61.87561   36.83653
-134.09509  -10.79711
 -48.17909  -18.89036
-109.28879   41.70083
-110.80652  -41.10749
 -47.64430   17.70819
-133.98424   12.08489
 -62.92302  -37.83601
 -78.00340   44.06735
-129.55709  -24.34157
 -44.81450   -5.05218
-123.35003   32.85699
 -92.12108  -45.42827
 -54.46556   30.53070
-135.49016   -2.08846
 -51.83041  -27.04929
 -98.02871   45.02982
-120.09195  -36.06138
 -45.09033    9.22714
-131.69882   20.65040
 -72.44690  -42.91167
 -66.93406   40.66183
-133.39963  -16.25140
 -45.89283  -13.84766
-115.79676   39.29291
-104.45549  -44.01292
 -49.14221   23.03348
-135.52702    6.78915
 -57.50528  -34.47826
 -85.40317   45.80135
-127.12489  -29.41603
 -43.96096    0.40261
-127.67737   28.76880
 -84.23546  -45.81954
 -58.00099   35.19611
-135.66850   -7.61765
 -48.49167  -22.41822
-105.68102   44.05824
-115.28615  -40.11197
 -45.61629   14.74627
-134.17083   15.62628
 -65.61075  -40.70983
 -73.08219   43.84538
-132.09372  -21.66646
 -44.18596   -8.54900
-121.53227   36.07933
 -97.13445  -46.06333
 -51.35288   28.22965
-136.53460    1.31294
 -52.90173  -30.48284
 -93.38640   46.51357
-123.84052  -34.24437
 -43.62773    5.97114
-131.24669   24.19142
 -76.32913  -45.13346
 -62.54285   39.46053
-135.30872  -13.19570
 -45.82623  -17.41865
-112.84859   42.08088
-109.36884  -43.56486
 -46.73478   20.24386
-136.04608   10.32968
 -59.54355  -37.65579
 -80.28114   46.21079
-130.10013  -26.97532
 -43.02293   -3.05603
-126.42744   32.18819
 -89.09705  -47.10550
 -54.38741   33.21003
-137.02169   -4.29004
 -49.08926  -25.96751
-101.52250   46.13007
-119.57026  -38.71065
 -43.82445   11.60250
-134.11425   19.22266
 -68.83078  -43.39971
 -68.20558   43.17237
-134.37295  -18.76893
 -43.77752  -12.12920
-119.26066   39.20289
-102.33387  -46.24125
 -48.51645   25.65679
-137.36656    4.82458
 -54.34048  -33.88142
 -88.32531   47.58940
-127.31238  -32.09708
 -42.38257    2.57666
-130.49687   27.74391
 -80.76232  -47.04062
 -58.38182   37.86590
-136.98519   -9.96932
 -46.00979  -21.03618
-109.34613   44.65956
-114.18136  -42.66976
 -44.58217   17.24482
-136.34234   13.94559
 -62.06204  -40.71544
 -75.03744   46.15319
-132.79754  -24.27769
 -42.29693   -6.61658
-124.78857   35.55880
 -94.33301  -47.95995
 -51.06195   30.90956
-138.16008   -0.83321
 -49.99902  -29.51789
 -96.82050   47.85765
-123.59501  -36.93021
 -42.26136    8.29872
-133.79920   22.85702
 -72.62482  -45.85326
 -63.48224   42.05962
-136.40096  -15.67453
 -43.59547  -15.77689
-116.48120   42.18784
-107.58789  -45.94617
 -45.95727   22.84158
-137.98640    8.43008
 -56.19189  -37.21632
 -82.94373   48.21265
-130.48861  -29.65151
 -41.34982   -0.93819
-129.41842   31.28657
 -85.72229  -48.57382
 -54.50377   35.90774
-138.43692   -6.59313
 -46.46159  -24.68296
-105.25355   46.97323
-118.79316  -41.34519
 -42.67643   14.06095
-136.40764   17.62116
 -65.11682  -43.61399
 -69.80683   45.62075
-135.22008  -21.35189
 -41.78380  -10.26318
-122.71106   38.84964
 -99.82692  -48.34393
 -48.03618   28.32694
-139.08814    2.73552
 -51.25602  -33.04687
 -91.61892   49.18209
-127.31859  -34.80279
 -40.91900    4.85486
-133.20455   26.51167
 -77.01989  -48.01157
 -59.00122   40.53025
-138.18699  -12.40681
 -43.65005  -19.47645
